alpha,mmse,q
0.01,0.980620792971255,0.11937920702874501
0.010426015024193769,0.9797148748197115,0.12028512518028853
0.010870178928471424,0.9787240532751059,0.12127594672489418
0.011333264882391758,0.9775939543237118,0.12240604567628832
0.011816078993698416,0.9764256527768441,0.12357434722315597
0.012319461711536006,0.9752285437603408,0.12477145623965924
0.012844289289445428,0.9740230655253508,0.12597693447464936
0.01339147531068492,0.9726501390247235,0.12734986097527662
0.01396197227853209,0.971208270078021,0.12879172992197904
0.014556773274335253,0.9696915081551092,0.1303084918448909
0.015823473011321497,0.966361343046603,0.13363865695339708
0.01649757673509626,0.9645806713125367,0.13541932868746342
0.01720039829029032,0.9626529670683694,0.13734703293163059
0.017933161099668377,0.9605566560421381,0.13944334395786198
0.0211899648160401,0.950977193336276,0.1490228066637241
0.022092689153417153,0.9481354373330932,0.1518645626669069
0.023033870903836993,0.9452599925031266,0.15474000749687347
0.024015148410874418,0.9419698006131761,0.15803019938682392
0.02503822981400198,0.9385084945025427,0.16149150549745736
0.03084575135182367,0.9181997842741643,0.1818002157258358
0.0321598267026659,0.913202866052439,0.18679713394756106
0.033529883637746276,0.907832000077063,0.19216799992293715
0.03495830705666115,0.9021810703638239,0.19781892963617623
0.036447583459312816,0.8965517487679927,0.2034482512320074
0.03800030527423517,0.8903301381892511,0.20966986181074895
0.0430667525284656,0.8694418921577357,0.23055810784226435
0.057672735319632414,0.806671328793815,0.2933286712061851
0.06269129522187779,0.7848233131353837,0.3151766868646165
0.06536203858694652,0.773499251326563,0.32650074867343704
0.06814655963194373,0.7624219828227718,0.3375780171772282
0.08052251317598266,0.7120895552325909,0.3879104447674092
0.08395289321586359,0.6997122147120574,0.40028778528794273
0.08752941259931289,0.6872098680748435,0.4127901319251566
0.09125829708192916,0.6716458379355863,0.42835416206441373
0.09514603764585322,0.6580525083397069,0.4419474916602932
0.0991994017988172,0.6457745851977452,0.4542254148022548
0.10342544535455026,0.6304324130101541,0.469567586989846
0.10783152471504724,0.6162293388034459,0.4837706611965542
0.11242530967608048,0.6032765076007439,0.4967234923992562
0.11721479677824521,0.5866081217740832,0.5133918782259169
0.1222083232267804,0.5732216938494502,0.5267783061505499
0.12741458140439413,0.5577705084858253,0.5422294915141748
0.13284263400235732,0.5445947968937038,0.5554052031062963
0.1385019297962052,0.5295747684860012,0.5704252315139989
0.1444023200935066,0.5154971594528424,0.5845028405471577
0.15055407588233374,0.5001252748053578,0.5998747251946422
0.1569679057102821,0.48602718401131995,0.6139728159886801
0.1636549743251632,0.4734615366068029,0.6265384633931972
0.1706269221098198,0.46010524007435716,0.6398947599256429
0.17789588534489212,0.44713745259834425,0.6528625474016558
0.1854745173348097,0.43135121992827896,0.6686487800717211
0.19337601043378144,0.4182835060103539,0.6817164939896462
0.20161411901012563,0.40467699587302897,0.6953230041269711
0.21020318338891614,0.391267835933232,0.7087321640667681
0.21915815481461975,0.3795752714837164,0.7204247285162837
0.22849462147718094,0.36648569372748996,0.7335143062725101
0.2382288356468558,0.35522865524836544,0.7447713447516346
0.24837774196503065,0.3420140390056794,0.7579859609943207
0.25895900694027324,0.32931366209487856,0.7706863379051215
0.2699910497009589,0.3177302597493612,0.7822697402506389
0.28149307405800433,0.3074952444362752,0.7925047555637249
0.2934851019335244,0.2945658472056323,0.8054341527943678
0.3059880082135965,0.2860014939793485,0.8139985060206516
0.3190235570858083,0.2745118719891073,0.8254881280108928
0.33261443992483775,0.2652311493432914,0.8347688506567087
0.34678431479201544,0.25528851306481426,0.8447114869351858
0.3615578476176296,0.24576740345154258,0.8542325965484575
0.3769607551376567,0.2348258795662197,0.8651741204337804
0.4097630857358032,0.2184651950537545,0.8815348049462456
0.42721960882414833,0.20999940035918574,0.8900005996408143
0.44541980602307574,0.20206986989570097,0.8979301301042991
0.4643953589670062,0.192995896538516,0.9070041034614841
0.4841792989755865,0.18754854438393853,0.9124514556160616
0.5048060645523074,0.1782492671836624,0.9217507328163377
0.5263115613326486,0.17132434442728783,0.9286756555727123
0.5964828335248082,0.15250703799868637,0.9474929620013137
0.6483875128176299,0.14020153110534428,0.9597984688946558
0.6760097950136238,0.1344798533054301,0.96552014669457
0.7048088279314195,0.13021388659697453,0.9697861134030256
0.734834742919738,0.12510378417487467,0.9748962158251254
0.7987785138394853,0.11521429369288705,0.984785706307113
0.8328076786293643,0.10940212090343926,0.9905978790965608
0.9052768479706118,0.10152171615843608,0.998478283841564
1.3739308583765326,0.06661008530179102,1.033389914698209
1.623447555445698,0.05724053227532999,1.04275946772467
1.692608860406749,0.05544592115013858,1.0445540788498615
1.764716540868426,0.052858194435217554,1.0471418055647825
1.8398961168537464,0.04975095862341172,1.0502490413765884
1.9182784557272954,0.04904796870815065,1.0509520312918494
2.0,0.046169741008727394,1.0538302589912727
